Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
06-Aug-2021,ACC,EQ,2392.2,2382.1,2398.8,2335.4,2344.0,2341.35,2362.48,516746,1220800564.4,26616,216620,41.92, 
05-Aug-2021,ACC,EQ,2398.6,2400.05,2413.7,2375.2,2390.0,2392.2,2394.73,399193,955961209.45,18749,95827,24.01, 
04-Aug-2021,ACC,EQ,2433.1,2433.0,2454.95,2393.0,2398.0,2398.6,2418.66,380386,920022749.2,21605,113591,29.86, 
03-Aug-2021,ACC,EQ,2424.0,2420.0,2440.8,2392.0,2429.55,2433.1,2417.52,538219,1301155943.5,33638,247167,45.92, 
02-Aug-2021,ACC,EQ,2394.1,2395.0,2434.4,2381.2,2424.0,2424.0,2412.5,464987,1121782303.25,28026,171593,36.9, 
30-Jul-2021,ACC,EQ,2364.0,2365.0,2415.0,2360.0,2395.5,2394.1,2390.86,465284,1112427496.9,21995,165508,35.57, 
29-Jul-2021,ACC,EQ,2393.9,2400.0,2413.0,2349.8,2374.0,2364.0,2373.29,677603,1608148769.6,32469,197624,29.17, 
28-Jul-2021,ACC,EQ,2371.7,2369.0,2397.2,2330.25,2392.0,2393.9,2367.06,437170,1034805621.95,23778,61021,13.96, 
27-Jul-2021,ACC,EQ,2369.2,2371.0,2395.0,2356.8,2366.25,2371.7,2377.94,1017264,2418988551.05,46501,326849,32.13, 
26-Jul-2021,ACC,EQ,2337.55,2337.3,2374.8,2308.1,2370.05,2369.2,2352.62,695393,1635996002.25,44997,217092,31.22, 
23-Jul-2021,ACC,EQ,2290.25,2296.15,2375.0,2292.5,2338.0,2337.55,2345.19,1664900,3904502623.55,78552,213012,12.79, 
22-Jul-2021,ACC,EQ,2308.85,2340.0,2340.0,2271.1,2291.8,2290.25,2301.58,1010305,2325299206.5,46876,219529,21.73, 
20-Jul-2021,ACC,EQ,2151.9,2226.0,2344.05,2192.2,2301.0,2308.85,2287.35,8593295,19655907777.55,300851,441260,5.13, 
19-Jul-2021,ACC,EQ,2129.35,2117.9,2168.0,2105.2,2167.35,2151.9,2137.47,666887,1425453487.05,37990,166573,24.98, 
16-Jul-2021,ACC,EQ,2112.45,2122.45,2135.0,2112.0,2133.0,2129.35,2124.09,425910,904671739.4,28235,108342,25.44, 
15-Jul-2021,ACC,EQ,2081.55,2080.0,2125.1,2068.7,2122.45,2112.45,2094.77,710905,1489185610.55,30923,278377,39.16, 
14-Jul-2021,ACC,EQ,2084.8,2083.65,2097.95,2070.9,2075.05,2081.55,2084.56,363780,758321903.3,17407,113893,31.31, 
